CustomerID,Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,LoyaltyProgramMember,WaitTime,ServiceRating,FoodRating,AmbianceRating
654,35,Male,83380,Weekly,28,Chinese,Breakfast,3,Business,Takeaway,1,44,2,5,4
655,19,Male,43623,Rarely,115,American,Dinner,1,Casual,Dine-in,0,58,5,5,3
656,41,Female,83737,Weekly,107,American,Dinner,6,Celebration,Dine-in,0,49,3,4,5
657,43,Male,96768,Rarely,44,Indian,Lunch,1,Celebration,Dine-in,0,8,4,5,1
658,55,Female,67937,Monthly,148,Chinese,Breakfast,1,Business,Takeaway,1,38,2,3,5
659,42,Female,28860,Monthly,111,Chinese,Dinner,8,Celebration,Takeaway,1,27,4,5,3
660,20,Female,131104,Weekly,120,Indian,Lunch,6,Business,Dine-in,0,8,5,4,1
661,51,Female,137882,Weekly,161,Mexican,Dinner,6,Business,Dine-in,0,56,4,3,3
662,27,Male,149638,Weekly,57,Indian,Breakfast,5,Celebration,Takeaway,0,40,2,4,5
663,32,Female,136145,Weekly,66,Italian,Lunch,9,Casual,Takeaway,0,21,4,3,1
664,21,Male,79249,Monthly,39,American,Breakfast,5,Business,Takeaway,0,19,1,3,2
665,59,Male,94208,Weekly,133,Italian,Dinner,8,Casual,Dine-in,1,55,3,3,3
666,32,Female,143471,Monthly,156,American,Breakfast,4,Casual,Takeaway,0,5,5,2,4
667,69,Male,38433,Daily,46,Italian,Dinner,4,Business,Takeaway,1,20,1,4,3
668,58,Male,64870,Monthly,89,American,Lunch,2,Celebration,Dine-in,1,58,2,4,2
669,54,Female,135616,Rarely,112,American,Lunch,2,Business,Takeaway,0,2,4,4,3
670,59,Female,123325,Weekly,64,Chinese,Dinner,4,Casual,Takeaway,1,3,3,5,5
671,42,Male,25569,Monthly,120,American,Dinner,3,Casual,Dine-in,1,55,1,3,3
672,26,Female,120447,Weekly,52,Mexican,Dinner,1,Casual,Takeaway,1,21,3,1,3
673,58,Male,70458,Rarely,197,Italian,Dinner,4,Casual,Takeaway,1,40,1,2,1
674,27,Female,41450,Weekly,15,Chinese,Dinner,5,Celebration,Dine-in,0,10,1,1,3
675,40,Female,85259,Monthly,61,Indian,Dinner,9,Business,Dine-in,1,13,3,2,5
676,20,Female,116507,Weekly,170,Chinese,Dinner,5,Celebration,Takeaway,0,12,4,4,5
677,51,Male,40666,Weekly,55,Mexican,Lunch,6,Casual,Takeaway,1,25,2,2,3
678,21,Male,62296,Weekly,161,Italian,Lunch,7,Casual,Takeaway,0,35,3,3,3
679,40,Female,38099,Weekly,119,Chinese,Breakfast,1,Casual,Dine-in,1,21,3,2,1
680,51,Male,105609,Rarely,13,Chinese,Dinner,6,Business,Takeaway,0,24,5,1,5
681,68,Male,82470,Weekly,146,American,Breakfast,1,Celebration,Dine-in,1,5,2,4,1
682,49,Female,49402,Weekly,92,American,Lunch,7,Celebration,Takeaway,0,22,3,1,4
683,59,Male,72461,Rarely,153,Italian,Lunch,3,Celebration,Takeaway,0,21,5,3,2
684,68,Female,87140,Weekly,141,Chinese,Lunch,3,Business,Dine-in,1,27,3,1,1
685,18,Female,25148,Weekly,174,American,Lunch,3,Celebration,Takeaway,0,56,3,5,5
686,35,Male,79963,Monthly,144,Mexican,Breakfast,2,Business,Dine-in,1,27,3,1,3
687,65,Female,92930,Rarely,144,Italian,Lunch,3,Celebration,Takeaway,0,42,1,2,2
688,47,Female,50567,Daily,81,Indian,Lunch,1,Business,Dine-in,1,11,4,1,4
689,46,Male,84767,Weekly,11,Indian,Dinner,2,Celebration,Takeaway,1,43,5,2,5
690,38,Female,35769,Rarely,72,Italian,Lunch,1,Celebration,Dine-in,1,45,5,3,5
691,50,Female,52640,Monthly,114,Italian,Breakfast,2,Business,Takeaway,1,13,3,3,1
692,23,Female,70427,Weekly,154,Mexican,Lunch,8,Business,Dine-in,1,43,5,1,2
693,54,Female,126716,Monthly,170,Mexican,Breakfast,1,Business,Takeaway,0,48,1,2,4
694,67,Male,70219,Monthly,115,Chinese,Dinner,7,Casual,Takeaway,1,7,3,5,1
